title,popularity,favorites,studios,studios_name
Corrector Yui,0.1862764749114719,0.0003901367070869,981,Nippon Animation
Chou Henshin Cosprayers,0.2434689650564575,1.5923947228038885e-05,677,Imagin|Studio Live
Uchuu no Stellvia,0.162624440435625,0.0005135472981042,1893,Xebec
Sakigake!! Cromartie Koukou,0.0576267789136099,0.0070622705956352,1166,Production I.G
Ijigen no Sekai El-Hazard,0.2151733814391661,3.980986807009721e-05,36,AIC
Shinpi no Sekai El-Hazard (TV),0.183436894501236,0.0001632204590873,36,AIC
Shinpi no Sekai El-Hazard,0.175085187412307,0.00042596558835,36,AIC
Shinpi no Sekai El-Hazard Season 2,0.2374223291240729,2.3885920842058325e-05,36,AIC
Final Approach,0.1402084586089396,0.0001990493403504,1811,Trinet Entertainment|Zexcs
Fruits Basket,0.0145987839914478,0.0398496779381673,1467,Studio Deen
Fullmetal Alchemist,0.0029063940669472,0.1069691155043512,234,Bones
Full Moon wo Sagashite,0.0715574263379434,0.0076713615771077,1467,Studio Deen
Fushigi Yuugi,0.0665129952562303,0.008622817423983,1574,Studio Pierrot
Fushigi Yuugi: Eikouden,0.1868777978218748,0.0001552584854733,1574,Studio Pierrot
Futakoi,0.1400080176388053,0.0001035056569822,1729,Telecom Animation Film
Futakoi Alternative,0.1477584018173314,0.0003463458522098,2017,ufotable|feel.|Studio Flag
Gate Keepers,0.1701075699873054,0.0002428401952275,541,Gonzo
Gate Keepers 21,0.2280350103561167,8.360072294720415e-05,541,Gonzo
Gensoumaden Saiyuuki,0.109006480924701,0.0032007133928358,1574,Studio Pierrot
Saiyuuki Reload,0.1390058127881339,0.0004816994036481,1574,Studio Pierrot
Saiyuuki Reload Gunlock,0.1676020578606267,0.0001950683535434,1574,Studio Pierrot
GetBackers,0.0666466225696532,0.0036426029284138,1467,Studio Deen
Green Green,0.0695196098082448,0.0009275699260332,1558,Studio Matrix
Gunslinger Girl,0.0456671343622636,0.0049841954823761,856,Madhouse
Hikaru no Go,0.0593639339881071,0.010259003001664,1574,Studio Pierrot
Hunter x Hunter,0.0126277811184606,0.0484525904281153,981,Nippon Animation
Hunter x Hunter: Original Video Animation,0.0637068216743502,0.0017755201159263,981,Nippon Animation
Hunter x Hunter: Greed Island,0.0506447517872653,0.0012938207122781,981,Nippon Animation
Hunter x Hunter: Greed Island Final,0.0569920491748513,0.0010430185434365,981,Nippon Animation
Jinki:Extend,0.2152401950958776,4.3790854877106935e-05,1981,feel.
Kamikaze Kaitou Jeanne,0.1069018507382909,0.0022731434668025,1751,Toei Animation
Kannazuki no Miko,0.094073628649696,0.0028623295142399,1692,TNK
Kanon,0.0984833299926505,0.0009156269656122,1751,Toei Animation
Kareshi Kanojo no Jijou,0.0367809180196432,0.0115568047007492,507,Gainax|J.C.Staff
Kono Minikuku mo Utsukushii Sekai,0.1037616088728536,0.0006489008495425,511,Gainax|Shaft
Kimi ga Nozomu Eien,0.05926371350304,0.0044029714085527,1486,Studio Fantasia
Kita e.: Diamond Dust Drops,0.2372218881539387,4.3790854877106935e-05,1467,Studio Deen
Loveless,0.0602325115253557,0.0051593589018845,688,J.C.Staff
Blood+,0.0226164227968196,0.0179900793808769,1166,Production I.G
Re: Cutie Honey,0.14699004476515,0.000839988216279,513,Gainax|Toei Animation
Solty Rei,0.1487271998396472,0.0005653001265953,542,Gonzo|AIC
Juuni Kokuki,0.0530834502572325,0.0105535960253827,1574,Studio Pierrot
Shaman King,0.0235852208191354,0.0149804533547775,1893,Xebec
X/1999,0.129351239393332,0.0005931670342444,856,Madhouse
X,0.0853210396204984,0.0031051697094675,856,Madhouse
Mahou Sensei Negima!,0.0598984432417986,0.0020263222847679,1893,Xebec
Maria-sama ga Miteru,0.0937729671944945,0.00290213938231,1467,Studio Deen
Boukyaku no Senritsu,0.1821674350237188,0.0001672014458944,688,J.C.Staff
"Ima, Soko ni Iru Boku",0.0560566579808912,0.0050518722580953,36,AIC
Peace Maker Kurogane,0.1069686643950023,0.0011226382795767,541,Gonzo
Pita Ten,0.1655308345025723,0.0003742127598589,856,Madhouse
Power Stone,0.2486470234515935,9.55436833682333e-05,1574,Studio Pierrot
Mononoke Hime,0.0035745306340616,0.0963239567824072,1504,Studio Ghibli
RahXephon,0.0665798089129418,0.0040765304903779,234,Bones
Samurai 7,0.0630386851072359,0.002898158395503,541,Gonzo
Scrapped Princess,0.0778045032404623,0.0017476532082772,234,Bones
s.CRY.ed,0.0860893966726799,0.0027707668176787,1635,Sunrise
